category,model,correct,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning,display_name,provider,translation_type
Science,gemma-3-27b,False,6.01137480000034,1793,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.7558724999980768,1667,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.819543400000839,1630,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,3.400389099995664,1603,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.6096306000035838,1680,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,0.9110494999986258,1807,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,1.839213300001575,1857,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,1.4755072999978438,1817,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.5926611999966551,1876,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,1.8339089000000968,1601,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.7344672999970498,1639,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.1180834999977378,1758,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.833364700003585,1645,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,0.8766219000026467,1880,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.3575823999999557,1603,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,0.8140723999968031,1999,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.632512500000303,1667,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.6719674999985727,1685,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,0.7345343999986653,1770,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,0.6648232000006828,1889,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.3165001000015764,1716,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.7757579999961308,1658,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,0.755833100003656,1750,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.7476827999998932,1793,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,0.8111181999993278,1570,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,0.708482100002584,1728,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,0.7160370000055991,1749,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,1.4251864999969257,1803,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,1.426959500000521,1952,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,0.8036725000056322,1770,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.4417164999977103,1828,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.7396270999961416,1912,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,0.9160218000033638,2290,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.2907357000003683,1710,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.3416016999981366,1726,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,False,1.2431364000003668,1983,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-27b,True,0.8255165000009583,1924,3,0,Gemma-3 27B,Google,Human
Science,gemma-3-4b-it,False,2.394316500001878,1792,2,0,Gemma-3 4B,Google,Human
Science,gemma-3-4b-it,False,1.0453856000021915,1666,2,0,Gemma-3 4B,Google,Human
Science,gemma-3-4b-it,True,1.0712844000008772,1629,2,0,Gemma-3 4B,Google,Human
